,,SS-Tier,S-Tier,A-Tier,B-Tier
Banner Lords Tier List,,,,,
,Damage,,Mikey,,
,Damage,,R. Blademaster,,
,Damage,,Ronda,,
,Off.Supp,,Giscard,,
,,,Archmage Hellmut,,
,Def.Supp,,,Adelyn,
,Control,,Dorothy,,
,Reviver,,Ursala,,
,,,,,
Barbarians Tier List,,,,,
,Damage,,Alika,Kallia,
,Off.Supp,,,Valla,
,Off.Supp,,Loki,High Khatun,
,Off.Supp,,,,
,Def.Supp,,,,
,Control,,,Atur,
,Reviver,,Scyl,,
,,,,,
Dark Elves Tier List,,,,,
,Damage,,Haggibah,,
,Damage,,Xenomorph,,
,Damage,,,,
,Off.Supp,,,Spider,
,Def.Supp,,,Captain Temila,
,Def.Supp,,,,
,Control,,Visix,,
,Reviver,,,Fang Cleric,
,,,,,
Demonspawn Tier List,,,,,
,Damage,,,,Hellgazer
,Damage,,,,Scion
,Off.Supp,,Prince Kymar,,
,Def.Supp,,Wythir,,
,Def.Supp,,,,
,Control,,,Achak,
,Reviver,,Duhr,,
,,,,,
Dwarves Tier List,,,,,
,Damage,,Morag,,
,Damage,,,,
,Damage,,,,
,Off.Supp,,Runekeeper Dazdurk,,
,Def.Supp,,,,
,Control,,Rock Breaker,,
,Control,,Conellia,,
,Reviver,,Melga,,
,,,,,
High Elves Tier List,,,,,
,Damage,,,Royal Guard,
,Off.Supp,,,Jinglehunter,
,Def.Supp,,Talenna,,
,Control,,Lyssandra,Ilysinya,
,Revive,Arbiter,,,
,,,,,
Knight Revenant Tier List,,,,,
,Damage,,Arix,Lady Eresh,
,Damage,,,,
,Off.Supp,,,Kytis,
,Def.Supp,,Thylessia,Skeletor,
,Def.Supp,,Sepulcher Sentinel,,
,Def.Supp,,Doompriest,,
,Control,,,Bergoth,
,Revive,,Rector Drath,,
,,,,,
Lizardmen Tier List,,,,,
,Damage,Lazarius - Alt,,,Skullsworn
,Off.Supp,,,,Slasher
,Def.Supp,,,,
,Control,,,Jizoh,Bogwalker
,Control,,,Teryx,
,Control,,,,
,Revive,Lazarius - Base,,Broadmaw,
,,,,,
Ogryn Tribes Tier List,,,,,
,Damage,,Kroz,Ceez,
,Damage,,,Galkut,
,Off.Supp,,Uugo,Skraank,
,Off.Supp,,Craklin,Guurda,
,Def.Supp,,,Ghrush,
,Control,,,Bellower,
,Revive,Khamir,,,Geargrinder
,,,,,
Orcs Tier List,,,,,
,Damage,Gharol - Alt,,Artak,
,,,,Terrorbeast,
,,,,Bonekeeper,
,Off.Supp,,Zargala,Galek,
,Def.Supp,,Dhukk,,
,Def.Supp,Gharol - Base,,Sandlashed Survivor,
,Control,,,,
,Revive,,,,
,,,,,
Sacred Order Tier List,,,,,
,Damage,,Ezio,,
,Damage,,Alice,,
,Off.Supp,,Deacon Armstrong,,
,Off.Supp,,Mordecai,,
,Def.Supp,,Sanguinia,,Canoness
,Control,,Mathias,,
,Revive,,Astralon,,
,,,,,
Shadowkin Tier List,,,,,
,Damage,,Arashi,,
,Damage,,Karato,,
,Damage,,Genbo,,
,Off.Supp,,,Suiren,
,Def.Supp,,Hotatsu,Kunoichi,
,Control,,,Burangiri,
,Control,,,,
,Revive,,,,
,,,,,
Skinwalkers Tier List,,,,,
,Damage,Sun Wukong,Akemtum,Cleopterix,
,Damage,The Cowardly Lion,Fayne,,
,Damage,,,,
,Off.Supp,,,Snorting Thug,
,Def.Supp,,Yuzan,Flesh-Tearer,
,Def.Supp,,,,
,Control,,Gnarlhorn,,
,Revive,,,,Tolog
,,,,,
Sylvan Watchers Tier List,,,,,
,Damage,,Leminisi,Wysteri,
,Damage,,Folan,Locwain,
,Off.Supp,,,,
,Def.Supp,,Duedan,,
,Control,,,,
,Revive,,,,
,,,,,
Undead Hordes Tier List,,,,,
,Damage,,Dark Elhain,Hexia,
,Damage,,Vallaryn the Equalizer,Husk,
,Damage,,,,
,Off.Supp,,Seeker,,
,Off.Supp,,,,
,Off.Supp,,,,
,Def.Supp,,Vogoth,Balthus,
,Control,,,Zelotah,
,Revive,,,,Grinner
,,,,,
Argonites Tier List,,,,,
