ID,HeroID,Name,Rank,Level,EmpowerLevel,Rarity,Affinity,Faction,UsedT1MasScrolls,UnUsedT1MasScrolls,UsedT2MasScrolls,UnUsedT2MasScrolls,UsedT3MasScrolls,UnUsedT3MasScrolls,HP,ATK,DEF,CritRate,CritDamage,SPD,ACC,RES,BlessingID,BlessingGrade,BooksMissing
232,8466,Hierophant Lazarius,6,60,0,6,1,6,0,100,0,600,0,950,65625,2408.23999023438,2768.43994140625,33,125,240.449996948242,406,116,0,0,6
239,8226,Gharol Bloodmaul,6,60,0,6,3,8,0,100,0,600,0,950,45988.6015625,2868.32006835938,2136.93994140625,107,168,191,143,84,0,0,10
14762,10736,Dorothy Gale,6,60,0,5,3,1,0,100,0,600,0,950,43313,2177.65991210938,3082.47998046875,21,50,229.53498840332,380,66,4101,3,10
6868,10596,Talenna Soulseer,6,60,0,5,3,2,0,100,0,600,0,950,74975.203125,2566.60009765625,3048.7900390625,52,60,253.649993896484,226,75,4101,3,12
212,9946,Michelangelo,6,60,0,5,3,1,0,100,0,600,0,950,36748,5500.39990234375,1579.84997558594,50,179,191.384994506836,182,73,5201,2,10
242,10276,Ezio Auditore,6,60,0,5,3,3,0,100,0,600,0,950,33136.80078125,4990.740234375,1574.56005859375,72,238.25,191,186,72,4101,2,12
234,10126,Xenomorph,6,60,0,5,1,11,0,100,0,600,0,950,43664.5,3062.90014648438,2489,96,170,224.535980224609,395,30,4101,2,10
84,8586,Rathalos Blademaster,6,60,0,5,2,1,0,100,0,600,0,950,37837.55078125,3947.09985351562,1657.81994628906,100,153,194,241,30,1301,1,0
70,1756,Lyssandra,6,60,0,5,3,2,0,100,0,600,0,950,83162.203125,1607.90002441406,2236.73999023438,26,98,278.299987792969,374,72,2102,1,0
54,7986,Sun Wukong,6,60,0,5,3,7,0,100,0,600,0,950,30086.75,3516.81982421875,2024.07995605469,38,105,169.5,223,62,4101,1,0
37,7866,Artak,6,60,0,5,1,8,0,100,0,600,0,950,50828.796875,1915,2199.10986328125,101,242,180.25,392,106,1202,1,0
65,5016,Scyl of the Drakes,6,60,0,5,1,13,0,100,0,600,0,950,47544,1717.2900390625,3841.919921875,25,83,247.649993896484,498,96,4101,1,2
13075,3566,Arbiter,6,60,0,5,4,2,0,100,0,600,0,950,68650.84375,1515,1957.32006835938,45,75,217.649993896484,300,101,0,0,0
4571,5786,Astralon,6,60,0,5,1,3,0,100,0,600,0,950,27539.650390625,4104.66015625,1358.84997558594,65,166,157,121,70,0,0,13
99,1446,Prince Kymar,6,60,0,5,1,9,0,100,0,600,0,950,48221.796875,2058.0400390625,2672.89990234375,25,81,223.981491088867,301,75,0,0,0
96,5116,Visix the Unbowed,6,60,0,5,4,11,0,100,0,600,0,950,32033.75,1246.47998046875,3709.16015625,26,72,174.154998779297,135,103,0,0,0
9484,10586,Haggibah the Nestmaid,6,60,0,5,2,11,0,100,0,600,0,950,68652.515625,1079.34997558594,1958.46997070313,94,82,196,182,99,0,0,10
14551,10676,Khamir Scald-eye,6,58,0,5,1,5,0,100,0,600,287,200,47434.80078125,1483.17993164062,2829.39990234375,50,50,241.649993896484,197,69,0,0,8
15597,10716,The Cowardly Lion,6,41,0,5,1,7,100,0,551,0,0,0,29783.59765625,1429.11999511719,3042.30004882812,71,95,198.25,150,103,0,0,10
13353,6475,Wythir the Crowned,6,41,0,5,2,9,100,0,313,0,0,0,70691.3515625,1391.84997558594,1511.75,32,79,211,106,62,0,0,8
9432,10605,Vallaryn the Equalizer,5,50,0,5,1,10,0,0,0,0,0,0,29023.150390625,3310.6298828125,1992.56005859375,101,111,215.899993896484,246,116,4101,5,12
2147,9335,Skeletor,5,50,0,5,3,12,0,0,0,0,0,0,53990,2152.39990234375,1869.36999511719,21,99,191,197,144,4101,5,13
4574,10565,Folan Silverhart,5,50,0,5,3,14,0,100,0,600,158,400,28805,3281.16015625,1596.0400390625,102,140.25,188.270004272461,158,149,5201,5,11
109,8815,Chronicler Adelyn,5,50,0,5,2,1,0,0,0,0,0,0,29261.94921875,1713.73999023438,1274.97998046875,15,50,100,60,40,4101,2,11
165,9495,Alice the Wanderer,5,50,0,5,1,3,0,100,0,600,350,600,27586.05078125,2781.80004882813,1454.17993164062,101,155,153,127,50,4101,2,12
135,9165,Loki the Deceiver,5,50,0,5,3,13,0,0,0,0,0,0,38807.25,1994.72998046875,2282.55004882813,25,75,133.75,176,50,4101,2,10
202,9815,Leminisi the Gold-wing,5,50,0,5,2,14,0,0,0,0,0,0,25791.69921875,2753.60009765625,1327.9599609375,65,94,166.899993896484,89,80,5201,2,11
8818,8945,Mathias Blackflail,5,50,0,5,2,3,0,0,0,0,0,0,53400.19921875,1107.11999511719,1525.5,39,75,188,120,70,2201,1,9
4,7365,Ronda,5,50,0,5,1,1,0,0,0,0,0,0,22157.900390625,1765.88000488281,946,59,155,122.050003051758,171,60,0,0,10
15576,10130,Kroz Wallbreaker,5,50,0,5,3,5,0,0,0,0,0,0,14073,1134.30004882812,909,15,50,105,50,30,0,0,11
263,9365,Craklin the Blackened,5,50,0,5,2,5,0,0,0,0,0,0,23083.400390625,825.960021972656,1275.93994140625,15,50,108.900001525879,70,56,0,0,13
4533,6715,Guurda Bogbrew,5,50,0,5,2,5,0,0,0,0,0,0,18080,793.799987792969,1146,15,50,97,40,30,0,0,11
14553,1160,Rhazin Scarhide,5,50,0,5,2,6,0,0,0,0,0,0,15262,903.580017089844,1057,15,50,86,40,30,0,0,12
3188,6235,Cleopterix,5,50,0,5,3,7,0,0,0,0,0,0,13813.400390625,1354.85998535156,997.25,15,50,102,50,30,0,0,13
3187,7235,Arix,5,50,0,5,1,12,0,0,0,0,0,0,23489,825.799987792969,1443.5,15,66,108.900001525879,110,60,0,0,11
4555,9595,Arashi the Riptide,5,50,0,5,3,15,0,0,0,0,0,0,36462.69921875,1039.5,1575.40002441406,71,79,219,89,59,0,0,14
13352,6895,Karato Foxhunter,5,50,0,5,3,15,0,0,0,0,0,0,22965.69921875,1973.25,1059.90002441406,19,77,138,50,68,0,0,12
153,9330,Skeletor,5,29,0,5,3,12,0,0,0,0,0,0,15206,711.47998046875,723,15,50,98,50,30,0,0,13
14555,10590,Talenna Soulseer,5,17,0,5,3,2,0,0,0,0,0,0,12454,562.059997558594,753,15,50,105,50,30,0,0,12
30,1216,Husk,6,60,0,4,2,10,0,100,0,600,0,950,69043.5,2163.96997070313,2231.19995117187,79,110,176.800003051758,127,114,1202,4,0
5160,136,Royal Guard,6,60,0,4,1,2,0,100,0,600,0,950,35167.8984375,2992.19995117188,1404.17004394531,42,101,136,131,38,1301,2,0
78,5626,Ursala the Mourner,6,60,0,4,4,1,0,100,0,600,0,950,36478,1808.05004882813,2324.1201171875,40,70,170,89,188,0,1,0
9322,2406,Warcaster,6,60,0,4,4,1,0,100,0,600,0,950,53891.796875,1575.25,1826.75,44,90,186,211,94,1202,1,0
4056,3876,Deacon Armstrong,6,60,0,4,3,3,0,100,0,600,0,950,55604.1015625,2142.2099609375,2155.78002929687,48,70,203,318,159,1202,1,0
8808,5606,Uugo,6,60,0,4,1,5,0,100,0,600,0,950,58785,1364.32006835938,2293.85009765625,26,72,221.594985961914,274,84,1202,1,0
179,7626,Akemtum,6,60,0,4,4,7,0,100,0,600,0,950,34716.6015625,3572.84008789063,1545.43994140625,68,88,192,129,96,1202,1,0
